id,type_key,is_default,name_he,מחיר ליחידה (₪),משקל למטר/יחידה,פחת,type,product_type
8fd2f419-4f1f-4042-8b5e-580c96d6696d,disconnect_panel_before_after_production_meter,FALSE,לוח מנתק לפני/אחרי מונה ייצור,0,,,חשמל - ארונות,material
8fde91b1-321e-4f3e-b42d-3fd9fd15a807,diagonals,FALSE,--- דיאגונלים ---,0,,,,material
9cbcb4a9-d6ce-4a41-8a1e-e2aa7a30609e,ac_panel_25a,FALSE,ארון AC 25A,1073,,,חשמל - ארונות,material
a5f559fc-9ea6-4d88-8a8a-fe608d7bba58,yellow_green_copper_16mm,FALSE,נחושת צהוב\ירוק 16 ממ,0,,,חשמל - שחור,material
a8c9983d-d6cb-4b26-b9ca-3afe9c7523d1,angle_profile_40x40,FALSE,פרופיל זוית 40*40,16.5,0.623,4,אלומיניום,material
a993dd57-e570-4aaf-9a64-94d771294e52,torx_sharp_screw_for_wood_roof_12_5cm_5,FALSE,בורג טורקס שפיץ לגג עץ 12סמ,0.9,,,ברגים,material
ab7a56ce-0a44-4fc4-a38b-c690ad45f17b,sandwich_panel_accessory_screws_not_included,FALSE,אביזר סנטף (לא כולל ברגים),5.7,,,אביזרי עזר,material
ad08f6e2-be08-4af2-8510-d8b995315ee1,bare_copper_16mm,FALSE,נחושת חשופה 16 ממ,7.8,,,חשמל - שחור,material
b2bbfb43-b7b5-42fd-bb4e-c48299a13fde,self_drilling_screw_3_5_without_seal,FALSE,בורג איסכורית 3.5 ( ללא אטם),0.32,,,ברגים,material
b7183b2f-b594-4be5-bc4c-54e9fdc3ccb9,sandwich_roof_accessory,FALSE,אומגות,6,,,אביזרי עיגון,material
b91ea20b-cc3c-4733-8c61-8c778e7092fb,self_drilling_screw_5cm_with_seal,FALSE,איסכורית קודח 5סמ עם אטם,0.4,,,ברגים,material
bdf6461a-c026-4a20-b2fe-47e35260845d,ac_panel_40a,FALSE,ארון AC 40A,1123,,,חשמל - ארונות,material
c366047a-1d73-486e-b3d3-426d277c971e,mid_grounding_panel_clamp_without_screw,FALSE,מהדק פאנל אמצע הארקה ללא בורג,4.5,,,מהדקים,material
c3fe286f-5960-44ee-9b2d-3a7502f46414,rail_end_cap,FALSE,פקק קושרת 40*40,1.2,,,אביזרי עזר,material
c8352a3e-693c-437b-9696-6de8ad631f01,block_50x24x15,FALSE,,6873.19,43.623,12,,material
